0	-0.2409	-0.1999	0.4583
0.0054	-0.2356	-0.1998	0.4582
0.0109	-0.2303	-0.1997	0.4583
0.0163	-0.225	-0.1996	0.4583
0.0217	-0.2196	-0.1994	0.4583
0.0271	-0.2138	-0.1992	0.4583
0.0325	-0.208	-0.1991	0.4583
0.038	-0.2021	-0.1989	0.4584
0.0434	-0.196	-0.1987	0.4584
0.0488	-0.1896	-0.1984	0.4585
0.0542	-0.1832	-0.1982	0.4585
0.0596	-0.1766	-0.198	0.4585
0.0651	-0.1699	-0.1977	0.4585
0.0705	-0.1629	-0.1975	0.4586
0.0759	-0.1558	-0.1972	0.4586
0.0813	-0.1486	-0.1969	0.4586
0.0867	-0.1412	-0.1966	0.4586
0.0922	-0.1335	-0.1963	0.4587
0.0976	-0.1257	-0.196	0.4587
0.103	-0.1179	-0.1957	0.4587
0.1084	-0.1098	-0.1953	0.4588
0.1138	-0.1015	-0.1949	0.4588
0.1193	-0.0931	-0.1946	0.4588
0.1247	-0.0846	-0.1942	0.4589
0.1301	-0.0758	-0.1938	0.459
0.1355	-0.0669	-0.1935	0.4591
0.1409	-0.058	-0.193	0.4592
0.1464	-0.0488	-0.1926	0.4593
0.1518	-0.0395	-0.1922	0.4595
0.1572	-0.0301	-0.1918	0.4597
0.1626	-0.0206	-0.1914	0.46
0.168	-0.0109	-0.191	0.4602
0.1735	-0.0012	-0.1905	0.4605
0.1789	0.0087	-0.1901	0.4609
0.1843	0.0187	-0.1896	0.4613
0.1897	0.0287	-0.1892	0.4617
0.1951	0.0388	-0.1887	0.4621
0.2006	0.049	-0.1883	0.4627
0.206	0.0593	-0.1878	0.4632
0.2114	0.0696	-0.1873	0.4639
0.2168	0.0799	-0.1868	0.4645
0.2222	0.0903	-0.1864	0.4653
0.2277	0.1007	-0.1859	0.466
0.2331	0.1111	-0.1854	0.4669
0.2385	0.1215	-0.1849	0.4677
0.2439	0.1319	-0.1844	0.4686
0.2493	0.1423	-0.1839	0.4696
0.2548	0.1526	-0.1834	0.4706
0.2602	0.163	-0.1829	0.4716
0.2656	0.1733	-0.1824	0.4727
0.271	0.1835	-0.1819	0.4738
0.2764	0.1936	-0.1814	0.4749
0.2819	0.2038	-0.1809	0.4761
0.2873	0.2138	-0.1804	0.4773
0.2927	0.2237	-0.1799	0.4785
0.2981	0.2335	-0.1794	0.4797
0.3035	0.2433	-0.179	0.4809
0.309	0.2529	-0.1785	0.4821
0.3144	0.2625	-0.178	0.4834
0.3198	0.2719	-0.1776	0.4846
0.3252	0.2812	-0.1771	0.4858
0.3306	0.2904	-0.1767	0.487
0.3361	0.2995	-0.1762	0.4881
0.3415	0.3084	-0.1758	0.4893
0.3469	0.3173	-0.1754	0.4904
0.3523	0.3259	-0.175	0.4915
0.3577	0.3344	-0.1746	0.4925
0.3632	0.3427	-0.1742	0.4935
0.3686	0.3511	-0.1739	0.4946
0.374	0.3592	-0.1735	0.4955
0.3794	0.3671	-0.1732	0.4964
0.3848	0.375	-0.1729	0.4972
0.3903	0.3828	-0.1725	0.4981
0.3957	0.3903	-0.1722	0.4988
0.4011	0.3977	-0.1719	0.4995
0.4065	0.405	-0.1717	0.5002
0.4119	0.4122	-0.1715	0.5008
0.4174	0.4192	-0.1712	0.5013
0.4228	0.4262	-0.171	0.5018
0.4282	0.433	-0.1708	0.5023
0.4336	0.4397	-0.1706	0.5027
0.439	0.4462	-0.1704	0.5031
0.4445	0.4526	-0.1703	0.5034
0.4499	0.459	-0.1702	0.5036
0.4553	0.4652	-0.1701	0.5039
0.4607	0.4713	-0.17	0.504
0.4661	0.4773	-0.1699	0.5042
0.4716	0.4833	-0.1698	0.5043
0.477	0.4891	-0.1697	0.5044
0.4824	0.4949	-0.1697	0.5044
0.4878	0.5005	-0.1697	0.5043
0.4932	0.5061	-0.1697	0.5043
0.4987	0.5116	-0.1697	0.5042
0.5041	0.517	-0.1697	0.5041
0.5095	0.5224	-0.1698	0.504
0.5149	0.5277	-0.1698	0.5039
0.5203	0.533	-0.1699	0.5037
0.5258	0.5381	-0.17	0.5035
0.5312	0.5433	-0.1701	0.5033
0.5366	0.5484	-0.1702	0.5031
0.542	0.5534	-0.1703	0.5029
0.5474	0.5584	-0.1705	0.5027
0.5529	0.5634	-0.1706	0.5025
0.5583	0.5683	-0.1708	0.5023
0.5637	0.5732	-0.171	0.5021
0.5691	0.5781	-0.1712	0.5019
0.5745	0.5829	-0.1714	0.5016
0.58	0.5877	-0.1716	0.5014
0.5854	0.5925	-0.1719	0.5012
0.5908	0.5972	-0.1722	0.501
0.5962	0.6019	-0.1724	0.5008
0.6016	0.6065	-0.1727	0.5006
0.6071	0.6112	-0.1729	0.5004
0.6125	0.6158	-0.1733	0.5002
0.6179	0.6203	-0.1735	0.5
0.6233	0.6248	-0.1739	0.4998
0.6287	0.6293	-0.1742	0.4997
0.6342	0.6337	-0.1745	0.4995
0.6396	0.6381	-0.1748	0.4993
0.645	0.6425	-0.1752	0.4992
0.6504	0.6468	-0.1755	0.4991
0.6558	0.651	-0.1758	0.4989
0.6613	0.6552	-0.1762	0.4988
0.6667	0.6594	-0.1765	0.4986
0.6721	0.6635	-0.1769	0.4985
0.6775	0.6676	-0.1773	0.4984
0.6829	0.6716	-0.1777	0.4983
0.6884	0.6756	-0.178	0.4981
0.6938	0.6795	-0.1784	0.498
0.6992	0.6834	-0.1788	0.4979
0.7046	0.6872	-0.1792	0.4978
0.71	0.691	-0.1796	0.4976
0.7155	0.6947	-0.1799	0.4975
0.7209	0.6983	-0.1804	0.4974
0.7263	0.7019	-0.1807	0.4973
0.7317	0.7055	-0.1811	0.4972
0.7371	0.709	-0.1815	0.4971
