0	-0.2014	-0.0067	0.9076	-0.021	0.0006	0.4744
0.0054	-0.1954	-0.0064	0.9075	-0.0152	0.0005	0.4742
0.0109	-0.1893	-0.0061	0.9075	-0.0093	0.0004	0.4741
0.0163	-0.1833	-0.0058	0.9074	-0.0035	0.0003	0.4739
0.0217	-0.1772	-0.0054	0.9074	0.0024	0.0002	0.4738
0.0271	-0.171	-0.0051	0.9075	0.0081	0.0002	0.4737
0.0325	-0.1648	-0.0047	0.9076	0.0138	0.0002	0.4736
0.038	-0.1586	-0.0043	0.9077	0.0195	0.0001	0.4735
0.0434	-0.1524	-0.0039	0.9079	0.0251	0.0002	0.4734
0.0488	-0.1461	-0.0035	0.9081	0.0307	0.0003	0.4733
0.0542	-0.1398	-0.0031	0.9083	0.0363	0.0004	0.4732
0.0596	-0.1334	-0.0027	0.9086	0.0418	0.0005	0.4731
0.0651	-0.1271	-0.0023	0.9089	0.0473	0.0007	0.4731
0.0705	-0.1206	-0.0018	0.9092	0.0527	0.0008	0.473
0.0759	-0.1142	-0.0014	0.9096	0.0581	0.001	0.473
0.0813	-0.1078	-0.0009	0.91	0.0635	0.0012	0.4729
0.0867	-0.1013	-0.0005	0.9104	0.0689	0.0015	0.4729
0.0922	-0.0948	0	0.9109	0.0741	0.0018	0.4729
0.0976	-0.0883	0.0005	0.9114	0.0794	0.0021	0.4729
0.103	-0.0818	0.001	0.9119	0.0846	0.0023	0.4729
0.1084	-0.0752	0.0015	0.9125	0.0898	0.0027	0.4729
0.1138	-0.0687	0.0019	0.9131	0.0949	0.003	0.473
0.1193	-0.0621	0.0024	0.9137	0.0999	0.0034	0.4731
0.1247	-0.0555	0.0029	0.9143	0.105	0.0037	0.4731
0.1301	-0.049	0.0034	0.915	0.11	0.0042	0.4732
0.1355	-0.0424	0.0039	0.9157	0.1148	0.0046	0.4733
0.1409	-0.0358	0.0044	0.9164	0.1198	0.005	0.4734
0.1464	-0.0292	0.0048	0.9172	0.1246	0.0054	0.4735
0.1518	-0.0226	0.0054	0.9179	0.1293	0.0058	0.4737
0.1572	-0.016	0.0059	0.9187	0.1341	0.0063	0.4738
0.1626	-0.0094	0.0063	0.9194	0.1388	0.0067	0.4739
0.168	-0.0029	0.0068	0.9203	0.1433	0.0072	0.4741
0.1735	0.0037	0.0073	0.9211	0.1479	0.0077	0.4742
0.1789	0.0103	0.0078	0.9219	0.1524	0.0082	0.4744
0.1843	0.0168	0.0083	0.9227	0.1568	0.0086	0.4746
0.1897	0.0233	0.0088	0.9236	0.1611	0.0091	0.4748
0.1951	0.0299	0.0093	0.9245	0.1655	0.0096	0.4749
0.2006	0.0364	0.0097	0.9253	0.1696	0.0101	0.4751
0.206	0.0428	0.0102	0.9262	0.1738	0.0106	0.4753
0.2114	0.0493	0.0107	0.9271	0.1779	0.0111	0.4755
0.2168	0.0557	0.0112	0.9279	0.1819	0.0116	0.4757
0.2222	0.0621	0.0116	0.9288	0.1858	0.0121	0.4759
0.2277	0.0685	0.0121	0.9297	0.1897	0.0126	0.4761
0.2331	0.0749	0.0126	0.9306	0.1935	0.0131	0.4762
0.2385	0.0813	0.013	0.9314	0.1972	0.0137	0.4764
0.2439	0.0876	0.0135	0.9323	0.2009	0.0142	0.4766
0.2493	0.0938	0.014	0.9331	0.2045	0.0147	0.4768
0.2548	0.1001	0.0144	0.934	0.208	0.0152	0.477
0.2602	0.1063	0.0149	0.9348	0.2114	0.0157	0.4772
0.2656	0.1125	0.0154	0.9356	0.2148	0.0162	0.4773
0.271	0.1187	0.0158	0.9363	0.2181	0.0167	0.4775
0.2764	0.1248	0.0162	0.9371	0.2214	0.0172	0.4777
0.2819	0.1309	0.0167	0.9379	0.2246	0.0177	0.4778
0.2873	0.137	0.0171	0.9386	0.2278	0.0182	0.478
0.2927	0.143	0.0175	0.9393	0.2308	0.0187	0.4781
0.2981	0.149	0.0179	0.94	0.2339	0.0192	0.4782
0.3035	0.155	0.0183	0.9407	0.2369	0.0197	0.4783
0.309	0.1609	0.0187	0.9413	0.2399	0.0202	0.4785
0.3144	0.1668	0.0191	0.9419	0.2428	0.0207	0.4786
0.3198	0.1727	0.0195	0.9425	0.2456	0.0211	0.4787
0.3252	0.1786	0.0198	0.943	0.2485	0.0216	0.4787
0.3306	0.1844	0.0202	0.9435	0.2514	0.0221	0.4788
0.3361	0.1902	0.0205	0.944	0.2542	0.0225	0.4789
